time,open,high,low,close
2025-05-11 07:17:00,294.315,294.319,294.315,294.316
2025-05-11 07:17:05,294.314,294.314,294.311,294.312
2025-05-11 07:17:10,294.311,294.311,294.307,294.31
2025-05-11 07:17:15,294.31,294.323,294.31,294.32
2025-05-11 07:17:20,294.319,294.319,294.314,294.315
2025-05-11 07:17:25,294.315,294.319,294.315,294.317
2025-05-11 07:17:30,294.317,294.319,294.316,294.316
2025-05-11 07:17:35,294.316,294.316,294.31,294.312
2025-05-11 07:17:40,294.312,294.315,294.31,294.314
2025-05-11 07:17:45,294.312,294.313,294.308,294.308
2025-05-11 07:17:50,294.308,294.309,294.305,294.305
2025-05-11 07:17:55,294.305,294.306,294.302,294.303
2025-05-11 07:18:00,294.302,294.302,294.292,294.295
2025-05-11 07:18:05,294.295,294.3,294.294,294.295
2025-05-11 07:18:10,294.295,294.301,294.295,294.301
2025-05-11 07:18:15,294.301,294.302,294.297,294.298
2025-05-11 07:18:20,294.299,294.299,294.295,294.297
2025-05-11 07:18:25,294.297,294.297,294.292,294.293
2025-05-11 07:18:30,294.293,294.293,294.284,294.285
2025-05-11 07:18:35,294.285,294.287,294.283,294.284
2025-05-11 07:18:40,294.283,294.288,294.281,294.281
2025-05-11 07:18:45,294.281,294.281,294.276,294.276
2025-05-11 07:18:50,294.276,294.278,294.275,294.278
2025-05-11 07:18:55,294.278,294.278,294.269,294.271
2025-05-11 07:19:00,294.271,294.272,294.26,294.26
2025-05-11 07:19:05,294.26,294.268,294.26,294.267
2025-05-11 07:19:10,294.267,294.278,294.267,294.275
2025-05-11 07:19:15,294.275,294.298,294.274,294.298
2025-05-11 07:19:20,294.3,294.305,294.3,294.303
2025-05-11 07:19:25,294.303,294.304,294.301,294.304
2025-05-11 07:19:30,294.304,294.307,294.299,294.299
2025-05-11 07:19:35,294.299,294.302,294.297,294.302
2025-05-11 07:19:40,294.302,294.305,294.298,294.298
2025-05-11 07:19:45,294.298,294.303,294.298,294.298
2025-05-11 07:19:50,294.298,294.298,294.287,294.287
2025-05-11 07:19:55,294.287,294.298,294.287,294.296
2025-05-11 07:20:00,294.296,294.296,294.288,294.288
2025-05-11 07:20:05,294.288,294.29,294.288,294.289
2025-05-11 07:20:10,294.289,294.289,294.284,294.288
